"id_no","binomial","area","lotic","lentic","lentic_only","length","importance","marine","FoodTroph","foodtrophcat","climate_zone","code"
2429,"Synodontis congicus",583660.967402489,1,1,0,NA,NA,NA,NA,NA,1,"LC"
2439,"Notoglanidium macrostoma",722640.652302047,1,1,0,28.1000003814697,NA,0,3.75,"Carni.",1,"LC"
2440,"Mormyrus iriodes",9335.71281336562,1,1,0,NA,NA,NA,NA,NA,1,"VU"
2441,"Pseudobarbus capensis",20495.0562734206,1,1,0,NA,NA,NA,NA,NA,3,"EN"
2450,"Epiplatys mesogramma",40986.7820604395,1,0,0,NA,NA,NA,NA,NA,1,"LC"
2451,"Pseudotropheus joanjohnsonae",84.1614107759323,NA,NA,0,NA,NA,NA,NA,NA,1,NA
2464,"Synodontis bastiani",178199.63185421,1,0,0,NA,NA,NA,NA,NA,1,"LC"
2473,"Micropanchax loati",458303.79479892,1,1,0,NA,NA,NA,NA,NA,1,"LC"
2475,"Labeo parvus",2562674.49348384,1,1,0,38,"of no interest",0,2,"Herbi.",1,"LC"
2476,"Chiloglanis paratus",313039.79556935,1,0,0,NA,NA,NA,NA,NA,2,"LC"
2477,"Haplochromis cinereus",83191.2376373477,0,1,1,8.10000038146973,NA,0,2.57,"Omni.",1,"DD"
2481,"Atopochilus christyi",454792.554542004,1,1,0,NA,NA,NA,NA,NA,1,"LC"
2485,"Haplochromis plagiodon",70029.8147067808,0,1,1,8.5,NA,0,3.2,"Carni.",1,"VU"
2487,"Nanochromis nudiceps",308705.691609001,1,1,0,NA,NA,NA,NA,NA,1,"LC"
2488,"Hemichromis stellifer",113843.383222147,1,1,0,NA,NA,NA,NA,NA,1,"LC"
2492,"Julidochromis regani",33183.4448681446,0,1,1,13,"commercial",0,NA,NA,1,"LC"
2494,"Enteromius afrovernayi",1353728.45116894,1,1,0,5.69999980926514,"commercial",0,3.5,"Carni.",3,"LC"
2496,"Bathybates hornii",33354.7184506497,0,1,1,27.2000007629395,"commercial",0,4.2,"Carni.",1,"LC"
2501,"Lutjanus fulvus",6711.98828391718,0,0,0,40,"commercial",1,3.76,"Carni.",1,"LC"
2502,"Lethrinops microstoma",6876.2660956166,0,1,1,14.5,"commercial",0,3.5,"Carni.",1,"LC"
2503,"Synodontis filamentosus",1352499.420866,1,1,0,NA,NA,NA,NA,NA,1,"LC"
2506,"Enteromius magdalenae",109330.207257641,1,1,0,NA,NA,NA,NA,NA,1,"LC"
2507,"Labeo cyclorhynchus",208548.199755248,1,1,0,NA,NA,NA,NA,NA,1,"LC"
2508,"Oreochromis tanganicae",34890.675799273,1,1,0,42,NA,0,2,"Herbi.",1,"LC"
2509,"Mastacembelus ophidium",33012.5919769452,0,1,1,NA,NA,NA,NA,NA,1,"LC"
2514,"Chiloglanis lukugae",476467.463091256,1,1,0,NA,NA,NA,NA,NA,1,"LC"
2517,"Gephyroglanis congicus",423089.505487825,1,1,0,NA,NA,NA,NA,NA,1,"LC"
2520,"Tropheops modestus",250.547819787209,0,1,1,NA,NA,NA,NA,NA,1,"NT"
2522,"Amphilius atesuensis",954076.507116493,1,0,0,NA,NA,NA,NA,NA,1,"LC"
2523,"Divandu albimarginatus",148644.334692028,NA,NA,0,NA,NA,NA,NA,NA,1,"LC"
2527,"Lethrinops micrentodon",6876.2660956166,0,1,1,11.5,"commercial",0,2,"Herbi.",1,"DD"
2528,"Copadichromis trewavasae",84.1614107759323,0,1,1,10.539999961853,"commercial",0,NA,NA,1,"LC"
2529,"Chromidotilapia kingsleyae",171893.083301614,NA,NA,0,NA,NA,NA,NA,NA,1,"LC"
2537,"Campylomormyrus christyi",51141.6408583467,1,1,0,NA,NA,NA,NA,NA,1,"LC"
2544,"Lethrinops albus",6876.2660956166,0,1,1,NA,NA,NA,NA,NA,1,"LC"
2551,"Paramormyrops gabonensis",60562.839318433,1,0,0,16.2999992370605,NA,0,NA,NA,1,"VU"
2552,"Pelmatochromis buettikoferi",274900.720859899,1,0,0,NA,NA,NA,NA,NA,1,"LC"
2553,"Marcusenius greshoffii",697974.319392499,1,1,0,NA,NA,NA,NA,NA,1,"LC"
2555,"Pantanodon stuhlmanni",173503.017784663,NA,NA,0,NA,NA,NA,NA,NA,1,"DD"
2556,"Enteromius brevidorsalis",669910.220332669,1,1,0,NA,NA,NA,NA,NA,1,"LC"
2558,"Labeobarbus ruwenzorii",23749.7430521263,1,0,0,NA,NA,NA,NA,NA,1,"VU"
2561,"Bagrus caeruleus",13374.8013617231,1,1,0,21,NA,0,NA,NA,1,"VU"
2562,"Petrotilapia genalutea",4443.05885150706,0,1,1,13.1000003814697,"commercial",0,2,"Herbi.",1,"LC"
2563,"Astatotilapia tweddlei",13455.8962789844,NA,NA,0,NA,NA,NA,NA,NA,1,NA
2564,"Hemichromis elongatus",2819298.7070927,1,1,0,18.7000007629395,NA,0,3.65,"Carni.",1,"LC"
2565,"Petrotilapia tridentiger",4191.16508658342,0,1,1,NA,NA,NA,NA,NA,1,"LC"
2567,"Zaireichthys camerunensis",29094.0610875627,1,0,0,NA,NA,NA,NA,NA,1,"LC"
2571,"Congochromis dimidiatus",838800.38244629,NA,NA,0,NA,NA,NA,NA,NA,1,NA
2572,"Myomyrus pharao",26943.2328524134,1,1,0,NA,NA,NA,NA,NA,1,"VU"
2573,"Marcusenius ghesquierei",28827.0887942206,1,1,0,NA,NA,NA,NA,NA,1,"LC"
2577,"Clariallabes brevibarbis",9206.75322445915,NA,NA,0,NA,NA,NA,NA,NA,1,"DD"
2581,"Brachypetersius gabonensis",118733.304461278,NA,NA,0,NA,NA,NA,NA,NA,1,"LC"
